Parent Account Number,Parent Account Name,Account Number,Account Name,Customer Own Reference,Card Group,Card Number,Card Type Description,Card Purchase Category,Vehicle Type,Card Driver Name,Card  VRN,Card Additional Data,Invoice Date,Invoice number,Invoice Reference ID,Voucher number,Authorisation Code,Transaction Date,Posted Date,Transaction VRN,Odometer,Transaction Type,Product Description,Quantity,Unit Price (for fuel this would be PPL),Net Value,VAT Value,VAT Rate %,VAT Type,Gross Value,Network,Site Number,Site Name,Site Address,Site City,Site Region,Site Post Code,Site Phone Number,Country,Site Type,Purchase Description,Tank Size,Group code
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,05/06/2023 07:48,E2016618615,29094895,648966,236730,06/06/2023 07:11,06/06/2023 07:11,IN40DM,123,Fuel,Diesel,35.07,1.65726,48.43,9.69,20,UK Standard Rate,58.12,JET,11702525,WESTEND F/STN,STRATHPEFFER ROAD,DINGWALL,ROSS-SHIRE,IV15 9QF,01349 862221,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,05/06/2023 15:57,E2016594471,29066058,0,,31/06/2023  14:38,31/06/2023  07:59:00,IN02DM,43390,Fuel,Diesel,62.39,1.57028,81.64,16.33,20,UK Standard Rate,97.97,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,24/06/2023 11:19,E2016594471,29066058,75805,944848,31/06/2023  14:38,31/06/2023  19:17:00,IN79DM,63998,Fuel,Diesel,29.44,1.74694,42.86,8.57,20,UK Standard Rate,51.43,CO-OPERATIVE,22900137,CO-OP RIVERSIDE,11 CHARNHAM STREET,HUNGERFORD,BERKSHIRE,RG17 0EP,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,13/06/2023 07:49,E2016594471,29066058,823096,701317,30/06/2023 11:38,30/06/2023 11:38,IN79DM,63840,Fuel,Diesel,30.2,1.72715,43.47,8.69,20,UK Standard Rate,52.16,TESCO,75198901,TESCO NEWBURY EXTRA,PINCHINGTON LANE GREENHAM,NEWBURY,BERKSHIRE,RG14 7HB,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,19/06/2023 13:10,E2016618615,29094895,12754,438414,03/06/2023 10:41,03/06/2023 10:41,IN79DM,64283,Fuel,Diesel Premium,30.95,1.737,44.8,8.96,20,UK Standard Rate,53.76,BP,9971013,LITTLE MARLOW S/STN,LITTLE MARLOW ROAD,MARLOW,BUCKINGHAMSHIRE,SL7 1HX,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,19/06/2023 12:34,E2016618615,29094895,561227,171704,06/06/2023 15:26,06/06/2023 15:26,IN91DM,8852,Fuel,Diesel,95.88,1.65697,132.39,26.48,20,UK Standard Rate,158.87,GULF,11702929,ABERDEEN AIRPORT S/STN,ARGYLL ROAD,ABERDEEN,ABERDEENSHIRE,AB21 0LU,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,17/06/2023 08:31,E2016618615,29094895,833918,726222,06/06/2023 10:09,06/06/2023 10:09,IN40DM,7,Fuel,Diesel,18.36,1.65686,25.35,5.07,20,UK Standard Rate,30.42,JET,11703651,BRIDGEND FILLING STATION,STATION ROAD,BEAULY,INVERNESS-SHIRE,IV4 7EH,01463 782768,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,24/06/2023 08:24,E2016618615,29094895,816719,689064,06/06/2023 07:12,06/06/2023 07:12,IN40DM,2,Fuel,Diesel,59.49,1.65692,82.14,16.43,20,UK Standard Rate,98.57,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,27/06/2023 12:52,E2016618615,29094895,832724,405314,03/06/2023 07:52,03/06/2023 07:52,IN40DM,2,Fuel,Diesel,13.76,1.65698,19,3.8,20,UK Standard Rate,22.8,JET,11703651,BRIDGEND FILLING STATION,STATION ROAD,BEAULY,INVERNESS-SHIRE,IV4 7EH,01463 782768,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,17/06/2023 15:07,E2016618615,29094895,816979,847521,07/06/2023 07:09,07/06/2023 07:09,IN40DM,2,Fuel,Diesel,52.32,1.65711,72.25,14.45,20,UK Standard Rate,86.7,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,14/06/2023 07:35,E2016618615,29094895,15028,168049,06/06/2023 15:09,06/06/2023 15:09,IN79DM,64123,Fuel,Diesel,43.1,1.93689,69.57,13.91,20,UK Standard Rate,83.48,MOTO,5313001,CHIEVELEY MWSA,OXFORD ROAD HERMITAGE,THATCHAM,BERKSHIRE,RG18 9XX,01635 247583,United Kingdom,MWAY,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,17/06/2023 16:44,E2016618615,29094895,38,260508,06/06/2023 09:00,06/06/2023 09:00,IN73DM,2,Fuel,Diesel,58.33,1.67701,81.52,16.3,20,UK Standard Rate,97.82,TEXACO,18009086,HORTON HEATH S/STN,BOTLEY ROAD ,EASTLEIGH,HAMPSHIRE,SO50 7DN,02380 696504  ,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,20/06/2023 10:29,E2016618615,29094895,2463,965674,07/06/2023 17:07,07/06/2023 17:07,IN73DM,0,Fuel,Diesel,59.11,1.66706,82.12,16.42,20,UK Standard Rate,98.54,SAINSBURYS,74931420,SAINSBURY BISHOP WALTHAM,WINCHESTER ROAD BISHOPS WALTHAM,SOUTHAMPTON,HAMPSHIRE,SO32 1BA,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,21/06/2023 17:02,E2016618615,29094895,14637,717461,06/06/2023 09:24,06/06/2023 09:24,IN91DM,9475,Fuel,Diesel,74.06,1.67702,103.5,20.7,20,UK Standard Rate,124.2,BP,2089984,PERTH SERVICES SF CONNECT,THE TRIANGLE,PERTH,PERTHSHIRE,PH1 3GA,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,16/06/2023 10:57,E2016618615,29094895,594867,344499,06/06/2023 16:20,06/06/2023 16:20,IN91DM,9149,Fuel,Diesel,50.96,1.70703,72.49,14.5,20,UK Standard Rate,86.99,SHELL,11702858,ORCHARDBANK S/STN,SILVIE WAY ORCHARDBANK BUSINESS PARK,FORFAR,ANGUS,DD8 1BF,01307 724884,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,12/06/2023 13:06,E2016665427,29119800,823862,387622,09/06/2023 16:34,09/06/2023 16:34,IN40DM,10,Fuel,Diesel,94.12,1.65703,129.97,25.99,20,UK Standard Rate,155.96,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,15/06/2023 13:00,E2016665427,29119800,4287,285850,09/06/2023 07:57,09/06/2023 07:57,IN40DM,123,Fuel,Diesel,81.51,1.65697,112.55,22.51,20,UK Standard Rate,135.06,ESSO,55551456,BLACKPARK F/STN,CLACHNAHARRY ROAD ,INVERNESS,INVERNESS-SHIRE,IV3 8QH,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,06/06/2023 10:28,E2016665427,29119800,0,,09/06/2023 08:22,09/06/2023 08:22,IN02DM,1,Fuel,Unleaded,5.03,1.4175,5.94,1.19,20,UK Standard Rate,7.13,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,06/06/2023 07:01,E2016618615,29094895,0,,07/06/2023 08:03,07/06/2023 08:03,IN02DM,1,Fuel,Unleaded,5,1.436,5.98,1.2,20,UK Standard Rate,7.18,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,11/06/2023 09:55,E2016618615,29094895,12471,639609,06/06/2023 14:06,06/06/2023 14:06,IN79DM,64402,Fuel,Diesel,30.28,1.68758,42.58,8.52,20,UK Standard Rate,51.1,BP,9970975,MUNRO'S CORNER S/STN,WATERY LANE NEWBURY ROAD,ANDOVER ,HAMPSHIRE,SP10 1DS,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,14/06/2023 09:30,E2016618615,29094895,12958,878268,07/06/2023 09:34,07/06/2023 09:34,IN79DM,64402,Fuel,Diesel,40.46,1.71725,57.9,11.58,20,UK Standard Rate,69.48,BP,2089320,HORNBILL SF CONNECT,BAGSHOT ROAD,BRACKNELL,BERKSHIRE,RG12 0SH,1344301039,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,20/06/2023 16:23,E2016665427,29119800,857740,418187,09/06/2023 21:55,09/06/2023 21:55,IN79DM,64973,Fuel,Diesel,30,1.75733,43.93,8.79,20,UK Standard Rate,52.72,SHELL,56012824,A34 SHELL TOTHILL SERVICE AREA,NEWBURY BYPASS ,NEWBURY,BERKSHIRE,RG20 9BX,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,23/06/2023 20:46,E2016665427,29119800,6472,289275,09/06/2023 08:12,09/06/2023 08:12,IN79DM,64844,Fuel,Diesel Premium,38.87,1.71701,55.62,11.12,20,UK Standard Rate,66.74,BP,50508843,RONTEC THATCHAM S/STN,A4 BATH ROAD WOOLHAMPTON ,THATCHAM,BERKSHIRE,RG7 5RT,0118 9714527,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,26/06/2023 07:28,E2016618615,29094895,1488,655883,06/06/2023 17:15,06/06/2023 17:15,IN73DM,0,Fuel,Diesel,57.11,1.66713,79.34,15.87,20,UK Standard Rate,95.21,SAINSBURYS,74931420,SAINSBURY BISHOP WALTHAM,WINCHESTER ROAD BISHOPS WALTHAM,SOUTHAMPTON,HAMPSHIRE,SO32 1BA,,United Kingdom,SUPMKT,,30,edinburgh
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,03/06/2023 06:48,E2016618615,29094895,391973,807059,06/06/2023 17:23,06/06/2023 17:23,IN91DM,25000,Fuel,Diesel,60.1,1.70699,85.49,17.1,20,UK Standard Rate,102.59,SHELL,11702858,ORCHARDBANK S/STN,SILVIE WAY ORCHARDBANK BUSINESS PARK,FORFAR,ANGUS,DD8 1BF,01307 724884,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,19/06/2023 13:56,E2016665427,29119800,834619,119209,08/06/2023 07:50,08/06/2023 07:50,IN40DM,9,Fuel,Diesel,19.01,1.58706,25.14,5.03,20,UK Standard Rate,30.17,JET,11703651,BRIDGEND FILLING STATION,STATION ROAD,BEAULY,INVERNESS-SHIRE,IV4 7EH,01463 782768,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,19/06/2023 13:10,E2016665427,29119800,0,,08/06/2023 07:55,08/06/2023 07:55,IN02DM,1,Fuel,Unleaded,5,1.436,5.98,1.2,20,UK Standard Rate,7.18,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,24/06/2023 19:43,E2016665427,29119800,0,,08/06/2023 12:42,08/06/2023 12:42,IN02DM,1,Fuel,Diesel,16,1.49625,19.95,3.99,20,UK Standard Rate,23.94,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,11/06/2023 12:17,E2016665427,29119800,0,,10/06/2023 09:16,10/06/2023 09:16,IN02DM,1,Fuel,Unleaded,10.04,1.41733,11.86,2.37,20,UK Standard Rate,14.23,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,17/06/2023 15:05,E2016665427,29119800,27850,935457,14/06/2023 11:38,14/06/2023 11:38,IN79DM,65252,Fuel,Diesel,26.15,1.94723,42.43,8.49,20,UK Standard Rate,50.92,BP,2085289,READING EAST CONNECT MWSA,M4 MOTORWAY EASTBOUND,READING,BERKSHIRE,RG30 3UQ,01189 576435 ,United Kingdom,MWAY,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,19/06/2023 13:09,E2016665427,29119800,828385,684004,12/06/2023 14:04,12/06/2023 14:04,IN79DM,65092,Fuel,Diesel,35.62,1.66704,49.48,9.9,20,UK Standard Rate,59.38,TESCO,75198938,TESCO ANDOVER,RIVER WAY,ANDOVER,HAMPSHIRE,SP10 1UZ,0345 6779007,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,26/06/2023 08:09,E2016665427,29119800,0,,11/06/2023 14:43,11/06/2023 14:43,IN73DM,1,Fuel,Diesel,55.53,1.49649,69.25,13.85,20,UK Standard Rate,83.1,ALLSTAR PREMIER,990048448,PREMIER MICHELDEVER,BOROUGH ARCH MICHELDEVER,WINCHESTER,HAMPSHIRE,SO21 3BE,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,02/06/2023 15:01,E2016665427,29119800,807851,555022,10/06/2023 17:11,10/06/2023 17:11,IN73DM,100,Fuel,Diesel,57.01,1.70707,81.1,16.22,20,UK Standard Rate,97.32,TESCO,75199749,TESCO WINCHESTER OPT,EASTON LANE,WINCHESTER,HAMPSHIRE,SO23 7RS,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,05/06/2023 11:47,E2016665427,29119800,807856,555545,10/06/2023 17:14,10/06/2023 17:14,IN73DM,100,Fuel,Unleaded,26.07,1.47718,32.09,6.42,20,UK Standard Rate,38.51,TESCO,75199749,TESCO WINCHESTER OPT,EASTON LANE,WINCHESTER,HAMPSHIRE,SO23 7RS,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,06/06/2023 16:17,E2016690094,29139837,825583,307688,16/06/2023 07:53,16/06/2023 07:53,IN40DM,2,Fuel,Diesel,37.84,1.65698,52.25,10.45,20,UK Standard Rate,62.7,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,edinburgh
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,17/06/2023 08:26,E2016665427,29119800,0,,14/06/2023 07:55,14/06/2023 07:55,IN02DM,1,Fuel,Unleaded,5.01,1.41717,5.92,1.18,20,UK Standard Rate,7.1,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,06/06/2023 08:43,E2016665427,29119800,817478,981798,14/06/2023 15:40,14/06/2023 15:40,IN79DM,65362,Fuel,Diesel,37.98,1.66693,52.76,10.55,20,UK Standard Rate,63.31,TESCO,75198938,TESCO ANDOVER,RIVER WAY,ANDOVER,HAMPSHIRE,SP10 1UZ,0345 6779007,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,11/06/2023 15:41,E2016690094,29139837,220693,382796,16/06/2023 14:37,16/06/2023 14:37,IN79DM,65523,Fuel,Diesel,40.79,1.94705,66.18,13.24,20,UK Standard Rate,79.42,WELCOME BREAK,80800007,WB FLEET SOUTH,M3 SOUTHBOUND HARTLEY WINTNEY HOOK ,BASINGSTOKE,HAMPSHIRE,GU51 1AA,,United Kingdom,MWAY,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,18/06/2023 08:23,E2016690094,29139837,30410,541032,17/06/2023 14:40,17/06/2023 14:40,IN79DM,65651,Fuel,Diesel,30.13,1.71689,43.11,8.62,20,UK Standard Rate,51.73,BP,2089320,HORNBILL SF CONNECT,BAGSHOT ROAD,BRACKNELL,BERKSHIRE,RG12 0SH,1344301039,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,21/06/2023 08:12,E2016665427,29119800,11641,488520,10/06/2023 11:26,10/06/2023 11:26,IN73DM,0,Non Fuel,Adblue,1,33.99,28.33,5.66,20,UK Standard Rate,33.99,BP,9970288,LEANDER S/STN,HENLEY ROAD,READING,BERKSHIRE,RG4 5LW,0118 9483101,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,25/06/2023 09:05,E2016690094,29139837,4384,561578,17/06/2023 16:26,17/06/2023 16:26,IN73DM,0,Fuel,Diesel,57.03,1.70682,81.12,16.22,20,UK Standard Rate,97.34,SAINSBURYS,74932200,SAINSBURYS ALTON,DRAYMANS WAY,ALTON,HAMPSHIRE,GU34 1SS,01420 84363,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,21/06/2023 13:32,E2016665427,29119800,747393,990854,14/06/2023 16:27,14/06/2023 16:27,IN91DM,10067,Fuel,Diesel,56.84,1.6469,78.01,15.6,20,UK Standard Rate,93.61,GULF,11703286,CRIEFF GARAGE,82 EAST HIGH STREET ,CRIEFF,PERTHSHIRE,PH7 3JA,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,19/06/2023 14:48,E2016690094,29139837,825282,144066,15/06/2023 07:27,15/06/2023 07:27,IN40DM,2,Fuel,Diesel,76.77,1.65703,106.01,21.2,20,UK Standard Rate,127.21,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,brighton-one
